Date,Balance
1672859108947,5006.7603
1672859109954,5006.7603
1672859110244,5006.7603
1672859110426,5006.7603
1672859110912,5006.7603
1672859115189,5006.7603
1672859115549,5006.7603
1672859156876,5006.7603
1672859156906,5006.6357
1672859164254,5006.6357
1672859164971,5006.6357
1672859202719,5006.6357
1672859202761,5006.5493
1672859204079,5006.5493
1672859204860,5006.5493
1672859250952,5006.5493
1672859297536,5006.5493
1672859298014,5006.5493
1672859378885,5006.5493
1672859412138,5006.5493
1672859412836,5006.5493
1672859417756,5006.5493
1672859418255,5006.5493
1672859421614,5006.5493
1672859422088,5006.5493
1672859422132,5006.5493
1672859423763,5006.5493
1672859424473,5006.5493
1672859427466,5006.5493
1672859432172,5006.5493
1672859432691,5006.5493
1672859435403,5006.5493
1672859435447,5006.0728
1672859436107,5006.0728
1672859436732,5006.0728
1672859442016,5006.0728
1672859444781,5006.0728
1672859444842,5005.392
1672859447598,5005.392
1672859448651,5005.392
1672859448665,5005.392
1672859449446,5005.392
1672859450957,5005.392
1672859450976,5005.308
1672859456205,5005.308
1672859456853,5005.308
1672859527106,5005.308
1672859568967,5005.308
1672859569526,5005.308
1672859583888,5005.308
1672859583914,5003.871
1672859586865,5003.871
1672859587400,5003.871
1672859664979,5003.871
1672859665011,5003.6104
1672859666588,5003.6104
1672859667320,5003.6104
1672859710835,5003.6104
1672859710860,5003.514
1672859714202,5003.514
1672859714839,5003.514
1672860200988,5003.514
1672860321279,5003.514
1672860341738,5003.4785
1672860346005,5003.4785
1672860346847,5003.4785
1672860347616,5003.4785
1672860351499,5003.4785
1672860377131,5003.4785
1672860378460,5003.4785
1672860398817,5003.4785
1672860398850,5003.2754
1672860412235,5003.2754
1672860412845,5003.2754
1672860446939,5003.2754
1672860447842,5003.2754
1672860449155,5003.2754
1672860449685,5003.2754
1672860471575,5003.2754
1672860472021,5003.2754
1672860481248,5003.2754
1672860481670,5003.2754
1672860505775,5003.2754
1672860516078,5003.2754
1672860516436,5003.2754
1672860528664,5003.2754
1672860529304,5003.2754
1672860537291,5003.2754
1672860537960,5003.2754
1672860551531,5003.241
1672860553556,5003.241
1672860554445,5003.241
1672860555098,5003.241
1672860558477,5003.241
1672860559176,5003.241
1672860560175,5003.241
1672860562019,5003.241
1672860563442,5003.241
1672860564032,5003.241
1672860564489,5003.241
1672860564562,5003.241
1672860564897,5003.241
1672860565057,5003.241
1672860565203,5003.241
1672860565724,5003.241
1672860566251,5003.241
1672860566278,5003.241
1672860566405,5003.241
1672860568160,5003.241
1672860568808,5003.241
1672860569021,5003.241
1672860569250,5003.241
1672860576499,5003.241
1672860610087,5003.241
1672860610119,5003.1377
1672860619985,5003.1377
1672860621599,5003.1377
1672860626998,5003.1377
1672860634089,5003.1377
1672860634112,5003.022
1672860634611,5003.022
1672860634632,5002.1045
1672860636888,5002.1045
1672860637380,5002.1045
1672860643742,5002.1045
1672860644262,5002.1045
1672860659773,5002.1045
1672860659805,5001.8457
1672860663774,5001.8457
1672860664289,5001.8457
1672860679903,5001.8457
1672860679924,5001.5815
1672860684570,5001.5815
1672860685167,5001.5815
1672860759757,5001.5815
1672860760723,5001.5815
1672860773588,5001.5815
1672860788756,5001.5815
1672860788784,5001.481
1672860797640,5001.481
1672860797909,5001.481
1672860798527,5001.481
1672860882324,5001.481
1672860882359,5001.2744
1672860884160,5001.2744
1672860884741,5001.2744
1672860888270,5001.2744
1672860888306,4999.8955
1672860894530,4999.8955
1672860895559,4999.8955
1672860897283,4999.8955
1672860897317,4999.639
1672860903124,4999.639
1672860903150,4999.0957
1672860905570,4999.0957
1672860906100,4999.0957
1672860906381,4999.0957
1672860906405,4998.997
1672860910386,4998.997
1672860910409,4998.7974
1672860913746,4998.7974
1672860914306,4998.7974
1672860915558,4998.7974
1672860915978,4998.7974
1672860917882,4998.7974
1672860918447,4998.7974
1672860941119,4998.7974
1672860941142,4998.5947
1672860951720,4998.5947
1672860952623,4998.5947
1672861000614,4998.5947
1672861000639,4998.4644
1672861003074,4998.4644
1672861003563,4998.4644
1672861143340,4998.4644
1672861205913,4998.4644
1672861205947,4998.2524
1672861214799,4998.2524
1672861215589,4998.2524
1672862928353,4998.2524
1672863028217,4998.2524
1672863029029,4998.2524
1672863125864,4998.2524
1672863125895,4998.1353
1672863131883,4998.1353
1672863132314,4998.1353
1672863215024,4998.1353
1672863315487,5000.457
1672863803075,5000.457
1672863807588,5000.457
1672863817855,5000.457
1672863822255,5000.457
1672863823048,5000.457
1672863827575,5000.457
1672863852240,5000.457
1672863867085,5000.457
1672863868152,5000.457
1672863868183,5000.4497
1672863877666,5000.4497
1672863878700,5000.4497
1672863925772,5000.4497
1672863926340,5000.4497
1672863941823,5000.4497
1672863942462,5000.4497
1672863971606,5000.4497
1672863971629,4999.4814
1672863975040,4999.4814
1672863975897,4999.4814
1672864327993,4999.4814
1672864328427,4999.4814
1672864415695,4999.4575
1672864415715,4999.4414
1672864416546,4999.4414
1672864417632,4999.4414
1672864418287,4999.4414
1672864529373,4999.4414
1672864529982,4999.4414
1672864548404,4999.4414
1672864548684,4999.4414
1672864548852,4999.4414
1672864549314,4999.4414
1672864549358,4996.561
1672864549612,4996.561
1672864553835,4996.561
1672864554260,4996.561
1672864592215,4996.561
1672864618426,4996.561
1672864619057,4996.561
1672864622760,4996.561
1672864622788,4996.3506
1672864633144,4996.3506
1672864633743,4996.3506
1672864791659,4996.3506
1672864792226,4996.3506
1672864795253,4996.3506
1672864820823,4996.3506
1672864896331,4996.3506
1672864896985,4996.3506
1672864897941,4996.3506
1672864901746,4996.3506
1672864902104,4996.3506
1672864902894,4996.3506
1672864916087,4996.3506
1672864916112,4996.154
1672864920230,4996.154
1672864920670,4996.154
1672864977678,4996.154
1672864978403,4996.154
1672864991554,4996.154
1672864994373,4996.154
1672864994953,4996.154
1672865005976,4996.154
1672865006424,4996.154
1672865011655,4996.154
1672865062488,4996.154
1672865067102,4996.154
1672865070829,4996.154
1672865071232,4996.154
1672865071581,4996.154
1672865071582,4996.154
1672865071585,4996.154
1672865072127,4996.154
1672865072236,4996.154
1672865072338,4996.154
1672865072418,4996.154
1672865072997,4996.154
1672865074541,4996.154
1672865075015,4996.154
1672865078147,4996.154
1672865078628,4996.154
1672865078709,4996.154
1672865079540,4996.154
1672865088731,4996.154
1672865088767,4995.9126
1672865097100,4995.9126
1672865097553,4995.9126
1672865118244,4995.9126
1672865118278,4995.806
1672865122340,4995.806
1672865122791,4995.806
1672865134544,4995.806
1672865183533,4995.806
1672865183562,4995.4673
1672865187571,4995.4673
1672865188170,4995.4673
1672865264575,4995.4673
1672865264622,4995.3687
1672865267189,4995.3687
1672865267716,4995.3687
1672865312793,4995.3687
1672865312823,4995.16
1672865314308,4995.16
1672865314330,4994.665
1672865317155,4994.665
1672865317931,4994.665
1672865323870,4994.665
1672865324676,4994.665
1672865377812,4994.665
1672865377837,4990.495
1672865385341,4990.495
1672865386012,4990.495
1672865399442,4990.495
1672865399479,4990.071
1672865410317,4990.071
1672865411033,4990.071
1672866255300,4990.071
